shipment_id,order_id,carrier,shipping_method,distance_band,promised_days,actual_days,actual_minus_promised,hours_to_ship,shipping_state,state,order_total,order_subtotal,shipping_fee,tax_amount,shipping_to_subtotal_ratio,payment_method,device_type,ip_country,promo_used,customer_segment,loyalty_tier,total_items,unique_products,late_delivery
1,1,UPS,expedited,regional,3,5,2,9.0,CO,CO,724.69,662.95,15.44,46.3,0.023289840862810163,card,mobile,US,0,standard,silver,9,5,1
2,2,FedEx,expedited,local,2,3,1,22.0,NY,CO,944.27,862.92,14.74,66.61,0.017081537106568397,card,desktop,US,1,standard,silver,7,5,1
3,3,FedEx,expedited,national,4,8,4,30.0,CO,CO,850.85,796.09,14.04,40.72,0.017636196912409398,card,mobile,US,0,standard,silver,5,3,1
4,4,UPS,standard,regional,6,6,0,27.0,CO,CO,156.47,137.6,6.99,11.88,0.05079941860465117,bank,mobile,US,1,standard,silver,1,1,0
5,5,USPS,standard,regional,6,7,1,33.0,CO,CO,25.46,17.07,6.99,1.4,0.4094903339191564,card,mobile,CA,0,standard,silver,1,1,1
6,6,UPS,standard,national,7,9,2,26.0,CO,CO,471.3,432.8,8.39,30.11,0.01938539741219963,paypal,tablet,NG,0,standard,silver,6,4,1
7,7,FedEx,standard,regional,6,6,0,26.0,CO,CO,708.9,644.08,7.34,57.48,0.011396099863371008,paypal,desktop,GB,0,standard,silver,3,2,0
8,8,USPS,standard,regional,6,8,2,2.0,CO,CO,778.08,721.34,8.74,48.0,0.012116339035683588,card,desktop,US,1,standard,silver,7,3,1
9,9,UPS,standard,national,7,7,0,31.0,NY,CO,375.21,342.78,6.99,25.44,0.020392088219849468,bank,tablet,US,0,standard,silver,2,2,0
10,10,USPS,standard,local,5,5,0,15.0,CO,CO,163.76,142.09,8.39,13.28,0.059047082834823,card,desktop,US,0,standard,silver,6,5,0
11,11,FedEx,standard,local,5,5,0,27.0,CO,CO,83.69,69.84,7.69,6.16,0.11010882016036655,paypal,desktop,US,0,standard,silver,4,2,0
12,12,FedEx,standard,regional,6,4,-2,30.0,WA,CO,768.29,696.48,7.69,64.12,0.011041235929244199,paypal,mobile,US,0,standard,silver,4,2,0
13,13,USPS,overnight,local,1,4,3,5.0,CO,CO,620.36,555.52,26.39,38.45,0.04750504032258065,bank,mobile,US,1,standard,silver,6,3,1
14,14,FedEx,expedited,local,2,2,0,31.0,CO,CO,145.7,121.68,13.69,10.33,0.11250821827744904,paypal,desktop,IN,0,standard,silver,4,4,0
15,15,FedEx,standard,regional,6,7,1,13.0,CO,CO,23.4,15.29,6.99,1.12,0.4571615434924788,card,desktop,US,1,standard,silver,1,1,1
16,16,UPS,standard,regional,6,8,2,9.0,CO,CO,804.67,735.85,8.39,60.43,0.01140178025412788,paypal,mobile,US,1,standard,silver,6,5,1
17,17,FedEx,standard,local,5,5,0,36.0,CO,CO,51.93,42.64,6.99,2.3,0.16393058161350846,paypal,mobile,US,0,standard,silver,1,1,0
18,18,USPS,standard,local,5,9,4,14.0,CO,CO,1114.09,1043.0,9.09,62.0,0.008715244487056567,bank,mobile,US,0,standard,silver,8,5,1
19,19,USPS,standard,regional,6,7,1,15.0,CO,CO,115.88,102.65,7.34,5.89,0.07150511446663418,paypal,tablet,US,1,standard,silver,3,3,1
20,20,UPS,standard,regional,6,6,0,6.0,CO,CO,463.67,431.83,8.74,23.1,0.020239446078317857,card,desktop,US,0,standard,silver,7,5,0
21,21,UPS,standard,regional,6,7,1,33.0,CO,CO,1215.99,1105.66,7.69,102.64,0.00695512182768663,card,mobile,US,0,standard,silver,4,2,1
22,22,FedEx,expedited,regional,3,2,-1,27.0,CO,CO,22.17,8.68,12.99,0.5,1.4965437788018434,paypal,desktop,US,0,standard,silver,1,1,0
23,23,UPS,expedited,regional,3,3,0,24.0,CO,CO,328.11,287.76,13.34,27.01,0.04635807617458994,card,desktop,US,0,standard,silver,3,2,0
24,24,UPS,standard,regional,6,7,1,7.0,CO,CO,481.55,445.0,8.04,28.51,0.018067415730337075,card,tablet,US,0,standard,silver,5,2,1
25,25,FedEx,expedited,regional,3,2,-1,2.0,CO,CO,426.26,391.3,12.99,21.97,0.033197035522616915,card,mobile,CA,0,standard,silver,2,1,0
26,26,USPS,standard,regional,6,8,2,35.0,CO,CO,309.58,279.22,8.74,21.62,0.03130148270181219,paypal,mobile,US,0,standard,silver,7,3,1
27,27,FedEx,expedited,local,2,4,2,27.0,CO,CO,313.62,274.23,15.09,24.3,0.05502680231922109,card,desktop,US,0,standard,silver,8,4,1
28,28,UPS,standard,regional,6,6,0,14.0,CO,CO,219.88,196.02,7.69,16.17,0.03923069074584226,bank,tablet,US,0,standard,silver,4,4,0
29,29,USPS,expedited,regional,3,3,0,29.0,CO,CO,258.43,228.5,12.99,16.94,0.05684901531728665,bank,mobile,CA,1,standard,silver,2,2,0
30,30,FedEx,standard,local,5,6,1,27.0,CO,CO,1115.14,1030.78,10.14,74.22,0.009837210656008072,bank,mobile,US,1,standard,silver,11,4,1
31,31,FedEx,standard,local,5,6,1,29.0,CO,CO,53.23,42.64,6.99,3.6,0.16393058161350846,paypal,desktop,US,0,standard,silver,1,1,1
32,32,UPS,overnight,regional,2,2,0,8.0,CO,CO,586.88,528.86,25.69,32.33,0.048576182732670274,card,desktop,US,1,standard,silver,4,2,0
33,33,FedEx,overnight,local,1,3,2,21.0,CO,CO,66.5,38.02,24.99,3.49,0.6572856391372961,card,mobile,US,0,standard,silver,2,2,1
