order_id,customer_id,order_total,order_subtotal,shipping_fee,tax_amount,risk_score,payment_method,device_type,ip_country,promo_used,customer_segment,loyalty_tier,gender,state,shipping_state,shipping_method,distance_band,promised_days,actual_days,items_per_order,unique_products,avg_item_price,customer_age,account_age_days,shipping_to_subtotal_ratio,tax_to_subtotal_ratio,is_fraud
1,1,724.69,662.95,15.44,46.3,38.3,card,mobile,US,0,standard,silver,Female,CO,CO,expedited,regional,3,5,9,5,69.242,20.476386036960985,48,0.023289840862810163,0.06983935440078437,0
2,1,944.27,862.92,14.74,66.61,94.9,card,desktop,US,1,standard,silver,Female,CO,NY,expedited,local,2,3,7,5,133.3,20.23271731690623,0,0.017081537106568397,0.07719139665322394,0
3,1,850.85,796.09,14.04,40.72,53.8,card,mobile,US,0,standard,silver,Female,CO,CO,expedited,national,4,8,5,3,140.85,20.520191649555098,64,0.017636196912409398,0.05114999560351216,1
4,1,156.47,137.6,6.99,11.88,4.2,bank,mobile,US,1,standard,silver,Female,CO,CO,standard,regional,6,6,1,1,137.6,20.413415468856947,26,0.05079941860465117,0.0863372093023256,0
5,1,25.46,17.07,6.99,1.4,4.9,card,mobile,CA,0,standard,silver,Female,CO,CO,standard,regional,6,7,1,1,17.07,20.479123887748116,49,0.4094903339191564,0.08201523140011716,0
6,1,471.3,432.8,8.39,30.11,20.7,paypal,tablet,NG,0,standard,silver,Female,CO,CO,standard,national,7,9,6,4,66.75,20.50924024640657,60,0.01938539741219963,0.06957024029574861,0
7,1,708.9,644.08,7.34,57.48,51.1,paypal,desktop,GB,0,standard,silver,Female,CO,CO,standard,regional,6,6,3,2,195.42000000000002,20.49281314168378,54,0.011396099863371008,0.08924357222705252,0
8,1,778.08,721.34,8.74,48.0,47.3,card,desktop,US,1,standard,silver,Female,CO,CO,standard,regional,6,8,7,3,115.54,20.432580424366872,32,0.012116339035683588,0.06654282307926913,0
9,1,375.21,342.78,6.99,25.44,28.4,bank,tablet,US,0,standard,silver,Female,CO,NY,standard,national,7,7,2,2,171.39,20.251882272416154,0,0.020392088219849468,0.07421669875722038,0
10,1,163.76,142.09,8.39,13.28,7.0,card,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,5,6,5,25.198,20.164271047227928,0,0.059047082834823,0.09346189035118586,0
11,1,83.69,69.84,7.69,6.16,1.4,paypal,desktop,US,0,standard,silver,Female,CO,CO,standard,local,5,5,4,2,17.85,20.536618754277892,70,0.11010882016036655,0.08820160366552118,0
12,1,768.29,696.48,7.69,64.12,83.8,paypal,mobile,US,0,standard,silver,Female,CO,WA,standard,regional,6,4,4,2,174.12,20.292950034223136,0,0.011041235929244199,0.09206294509533655,0
13,1,620.36,555.52,26.39,38.45,23.2,bank,mobile,US,1,standard,silver,Female,CO,CO,overnight,local,1,4,6,3,94.84333333333332,20.45448323066393,41,0.04750504032258065,0.06921442972350231,0
14,1,145.7,121.68,13.69,10.33,12.2,paypal,desktop,IN,0,standard,silver,Female,CO,CO,expedited,local,2,2,4,4,30.419999999999998,20.147843942505133,0,0.11250821827744904,0.0848948060486522,0
15,1,23.4,15.29,6.99,1.12,2.0,card,desktop,US,1,standard,silver,Female,CO,CO,standard,regional,6,7,1,1,15.29,20.54483230663929,73,0.4571615434924788,0.07325049051667758,0
16,1,804.67,735.85,8.39,60.43,73.6,paypal,mobile,US,1,standard,silver,Female,CO,CO,standard,regional,6,8,6,5,114.16199999999999,20.290212183436,0,0.01140178025412788,0.08212271522728817,0
17,1,51.93,42.64,6.99,2.3,4.1,paypal,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,5,1,1,42.64,20.18069815195072,0,0.16393058161350846,0.05393996247654784,0
18,1,1114.09,1043.0,9.09,62.0,86.7,bank,mobile,US,0,standard,silver,Female,CO,CO,standard,local,5,9,8,5,140.362,20.177960301163587,0,0.008715244487056567,0.059443911792905084,1
19,1,115.88,102.65,7.34,5.89,6.2,paypal,tablet,US,1,standard,silver,Female,CO,CO,standard,regional,6,7,3,3,34.21666666666667,20.161533196440793,0,0.07150511446663418,0.05737944471505114,0
20,1,463.67,431.83,8.74,23.1,25.3,card,desktop,US,0,standard,silver,Female,CO,CO,standard,regional,6,6,7,5,68.322,20.123203285420946,0,0.020239446078317857,0.05349327281569136,0
21,1,1215.99,1105.66,7.69,102.64,95.2,card,mobile,US,0,standard,silver,Female,CO,CO,standard,regional,6,7,4,2,266.56,20.26009582477755,0,0.00695512182768663,0.09283143100048839,0
22,1,22.17,8.68,12.99,0.5,2.7,paypal,desktop,US,0,standard,silver,Female,CO,CO,expedited,regional,3,2,1,1,8.68,20.136892539356605,0,1.4965437788018434,0.0576036866359447,0
23,1,328.11,287.76,13.34,27.01,14.7,card,desktop,US,0,standard,silver,Female,CO,CO,expedited,regional,3,3,3,2,96.915,20.33949349760438,0,0.04635807617458994,0.09386294134000557,0
24,1,481.55,445.0,8.04,28.51,14.3,card,tablet,US,0,standard,silver,Female,CO,CO,standard,regional,6,7,5,2,76.85,20.50924024640657,61,0.018067415730337075,0.06406741573033709,0
25,1,426.26,391.3,12.99,21.97,55.8,card,mobile,CA,0,standard,silver,Female,CO,CO,expedited,regional,3,2,2,1,195.65,20.17248459958932,0,0.033197035522616915,0.05614617940199335,0
